Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
669165933,6/27/2010,9925,255.28,159.42,2533654,1582243.5,951410.5
963881480,9/15/2012,2804,205.7,117.11,576782.8,328376.44,248406.36
341417157,5/8/2014,1779,651.21,524.96,1158502.59,933903.84,224598.75
514321792,7/5/2014,8102,9.33,6.92,75591.66,56065.84,19525.82
115456712,2/6/2013,5062,651.21,524.96,3296425.02,2657347.52,639077.5
547995746,2/21/2015,2974,255.28,159.42,759202.72,474115.08,285087.64
135425221,4/27/2011,4187,668.27,502.54,2798046.49,2104134.98,693911.51
871543967,7/27/2012,8082,154.06,90.93,1245112.92,734896.26,510216.66
770463311,8/25/2015,6070,81.73,56.67,496101.1,343986.9,152114.2
616607081,5/30/2014,6593,205.7,117.11,1356180.1,772106.23,584073.87
814711606,7/12/2011,124,154.06,90.93,19103.44,11275.32,7828.12
939825713,8/19/2014,4168,109.28,35.84,455479.04,149381.12,306097.92
187310731,3/1/2017,8263,109.28,35.84,902980.64,296145.92,606834.72
522840487,2/13/2017,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
832401311,2/23/2014,4901,81.73,56.67,400558.73,277739.67,122819.06
972292029,6/3/2012,1673,109.28,35.84,182825.44,59960.32,122865.12
419123971,12/18/2016,6952,437.2,263.33,3039414.4,1830670.16,1208744.24
519820964,4/18/2015,5430,47.45,31.79,257653.5,172619.7,85033.8
441619336,1/20/2011,3830,668.27,502.54,2559474.1,1924728.2,634745.9
322067916,9/11/2012,5908,421.89,364.69,2492526.12,2154588.52,337937.6
819028031,6/28/2014,7450,255.28,159.42,1901836,1187679,714157
860673511,9/3/2015,1273,255.28,159.42,324971.44,202941.66,122029.78
795490682,7/26/2016,2225,152.58,97.44,339490.5,216804,122686.5
142278373,10/4/2014,2187,9.33,6.92,20404.71,15134.04,5270.67
740147912,5/10/2016,5070,81.73,56.67,414371.1,287316.9,127054.2
898523128,6/5/2017,1815,437.2,263.33,793518,477943.95,315574.05
347140347,11/10/2014,5398,9.33,6.92,50363.34,37354.16,13009.18
686048400,5/10/2010,5822,9.33,6.92,54319.26,40288.24,14031.02
435608613,7/30/2014,5124,47.45,31.79,243133.8,162891.96,80241.84
886494815,6/9/2012,2370,668.27,502.54,1583799.9,1191019.8,392780.1
249693334,10/20/2012,8661,437.2,263.33,3786589.2,2280701.13,1505888.07
